City,Street,Lat,Long,Region,Partner,Bonus,Materials
Тольятти,"Самарская область, г Тольятти, ул Льва Яшина, 11","53,541197","49,360422",Самарская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тула,"Тульская область, г Тула, ш Новомосковское, 2","54,1689","37,1164",Тульская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тюмень,"Тюменская область, г Тюмень, ул Луначарского, 9","57,1656","65,5122",Тюменская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Тюмень,"Тюменская область, г Тюмень, ул Харьковская, 56","57,1478","65,585",Тюменская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Уфа,"Республика Башкортостан, г Уфа, ул Ахметова, 297","54,7894","55,8803",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Уфа,"Республика Башкортостан, г Уфа, ул Степана Халтурина, 59","54,745335","55,991617",Республика Башкортостан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Хабаровск,"Хабаровский край, г Хабаровск, ул Краснореченская, 11","48,3769","135,093",Хабаровский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Челябинск,"Челябинская область, г Челябинск, ул Горького, 53","55,1778","61,4373",Челябинская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ярославль,"Ярославская область, г Ярославль, ул Наумова, 2",57,39,Ярославская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Астрахань,"Астраханская область, г Астрахань, ул Полякова, 17","48,0447","46,365",Астраханская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Барнаул,"Алтайский край, г Барнаул, ул Аванесова, 173","53,3081","83,7736",Алтайский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Волгоград,"Волгоградская область, г Волгоград, ул им Довженко, 33","48,8167","44,95",Волгоградская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Воронеж,"Воронежская область, г Воронеж, ул Нижнедевицкая, 18","51,6356","39,0853",Воронежская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Екатеринбург,"Свердловская область, г Екатеринбург, ул Щербакова, 41","56,7839","60,6525",Свердловская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Иваново,"Ивановская область, г Иваново, ул Лежневская, 183","56,961402","40,973965",Ивановская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ижевск,"Удмуртская республика, г Ижевск, ул Ленина, 112","56,848838","53,267513",Удмуртская республика,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Иркутск,"Иркутская область, г Иркутск, ул Мухиной, 14","52,2283","104,3094",Иркутская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Казань,"Республика Татарстан, г Казань, ул Джаудата Файзи, 11","55,791766","49,226108",Республика Татарстан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Казань,"Республика Татарстан, г Казань, ул Юго-Западная 2-я, 10","55,761928","49,231321",Республика Татарстан,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Калининград,"Калининградская область, г Калининград, ул Подполковника Емельянова, 215","54,682763","20,573097",Калининградская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Калуга,"Калужская область, г Калуга, ул Телевизионная, 53","54,5226","36,2606",Калужская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Красноярск,"Красноярский край, г Красноярск, ул Глинки, 11","56,01317","93,03319",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Красноярск,"Красноярский край, г Красноярск, ул Семафорная, 443","56,999869","92,945272",Красноярский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Липецк,"Липецкая область, г Липецк, ул Ударников, 97","52,567621","39,507739",Липецкая область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, пер Смоленский 1-й, 24","55,749634","37,579678",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, пр-кт Мира, 81","55,801672","37,63596",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
