CodeFKKO,WasteName,OriginWaste,TechnologicalProcess,CompositionWaste,CompositionMin,CompositionMax,StateOfAggregation,HazardClass,Note
3 14 120 21 23 4,ткань фильтровальная из полимерных волокон отработанная при очистке технологических газов производства слабой азотной кислоты ,Производство азотной кислоты ,Очистка технологических газов производства слабой азотной кислоты ,,,,волокно,IV,"Состав ткани определяет производитель отхода.
Может  содержать оксид алюминия;  оксид магния; диоксид кремния; оксид кальция; оксид железа (III); оксид меди, воду"
3 14 390 11 33 4,отходы зачистки хранилищ жидких продуктов производства азотных удобрений ,Производство азотных удобрений ,Зачистка хранилищ жидких продуктов производства азотных удобрений ,,,,твердое в жидком (паста),IV,В состав может входить мочевина и ее соли; соли цианамида; цианураты и изоцианураты аммония; уретаны и фенилуретаны; карбомат аммония; воду; оксид кремния.
3 14 428 91 49 4,сметки фосфорсодержащих удобрений,Производство фосфатных удобрений,"Уборка просыпей при транспортировке, фасовке и отгрузке готовой продукции",,,,прочие сыпучие материалы,IV,Может содержать фосфаты аммония; хлорид калия; фторид кальция; воду.
3 14 510 11 61 3,"ткань фильтровальная из полиэфирного волокна при газоочистке, загрязненная хлоридами калия и натрия",Производство хлорида калия,Очистка отходящих газов,"Волокно полиэфильное 
Хлорид калия
Хлорид натрия",,,изделие из одного вида волокна,III,
3 14 710 01 39 5,отходы карбоната кальция при производстве нитроаммофоски на основе апатитового концентрата,Производство нитроаммофоски на основе апатитового концентрата,,Карбонат кальция,,,прочие дисперсные системы,V,"Может содержатьфосфат кальция, фторид кальция, нитрат аммония, воду"
3 14 710 11 39 4,"осадок при растворении сметок минеральных удобрений, содержащих азот, фосфор и калий","Производство удобрений, содержащих три питательных элемента: азот, фосфор и калий","Растворение сметок минеральных удобрений, содержащих азот, фосфор и калий",,,,прочие дисперсные системы,IV,
3 14 710 21 43 4,"опилки древесные, загрязненные минеральными удобрениями, содержащими азот, фосфор и калий","Производство удобрений, содержащих три питательных элемента: азот, фосфор и калий",,Древесина,,,опилки ,IV,"Содержит минеральные удобрения, содержащие азот, фосфор и калий"
3 14 901 31 33 4,отходы зачистки коллекторов ливневых и промышленных сточных вод при производстве неорганических минеральных удобрений,Производство неорганических минеральных удобрений,Зачистка коллекторов ливневых и промышленных сточных вод ,,,,твердое в жидком (паста),IV,
3 15 476 01 39 4,осадки механической и биологической очистки сточных вод производства полиэтилентерефталата ,Производство полиэтилентерефталата в первичных формах,Механическая и биологическая очистка сточных вод производства полиэтилентерефталата ,"Диоксид кремния
Вода
Нефтепродукты",,,прочие дисперсные системы,IV,"Может содержать хлориды,  соединения железа, магния, натрия, алюминия, кальция"
3 15 478 01 33 2,отходы пасты терефталевой кислоты при зачистке оборудования производства полиэтилентерефталата ,Производство полиэтилентерефталата в первичных формах,Зачистка оборудования производства полиэтилентерефталата ,"Кислота терефталевая
Гликоли
Вода",,,твердое в жидком (паста),II,"В качестве гликолей может быть этиленгликоль, диэтиленгликоль"
3 15 478 11 41 2,сметки терефталевой кислоты,Производство полиэтилентерефталата в первичных формах,Уборка просыпей при производстве полиэтилентерефталата,Кислота терефталевая,,,порошок,II,
3 15 525 01 31 3,жидкие органические отходы регенерации сырья в производстве поливинилового спирта,Производство поливинилового спирта,Регенерация сырья в производстве поливинилового спирта,,,,жидкое в жидком (эмульсия),III,
3 15 525 11 23 4,"ткань фильтровальная  из разнородных материалов, загрязненная пылью поливинилового спирта",Производство поливинилового спирта,Очистка отходящих газов,"Текстиль 
Поливиниловый спирт",,,волокно,IV,
3 15 525 21 20 4,отходы зачистки оборудования производства поливинилового спирта,Производство поливинилового спирта,Зачистка технологического оборудования ,,,,твердое ,IV,
3 15 525 22 31 3,отходы зачистки хранилищ поливинилового спирта,Производство поливинилового спирта,Зачистка хранилищ поливинилового спирта,,,,жидкое в жидком (эмульсия),III,
3 15 901 01 10 3,"ацетон, отработанный при промывке оборудования производства эпоксидных связующих",Производство эпоксидных связующих,Промывка оборудования,Ацетон,,,жидкое ,III,Содержит эпоксидное связующее
3 18 320 01 20 4,"отходы древесины, пропитанной 5-процентным раствором (NH4)2HPO4 при производстве спичек",Производство спичек,,"Древесина 
Вода 
Диаммоний фосфат ((NH4)2HPO4)",,,твердое ,IV,
3 18 911 00 29 4,брак кино- и фотопленки,Производство кино- и фотопленки,,,,,прочие формы твердых веществ,IV,
3 18 951 00 20 5,брак желатина,Производство желатина и его производных,,"Коллаген 
Вода 
Крахмал",,,твердое ,V,
3 19 110 01 20 5,"пережженные поликапроамидные слитки, жилка, щетина",Производства полиамидного волокна и нитей,,,,,твердое ,V,
3 19 120 00 23 5,брак  полиэфирного волокна и нитей,Производства полиэфирного волокна и нитей,,Волокно полиэфирное ,,,волокно,V,
3 19 130 00 23 5,брак полиакрилового волокна и нитей,Производство полиакрилового волокна и нитей,,Волокно полиакриловое,,,волокно,V,
3 31 151 02 20 5,обрезки вулканизованной резины,Производство резиновых изделий из вулканизованной резины,,,,,твердое ,V,
3 31 151 03 42 4,пыль (мука) резиновая,Производство резиновых изделий из вулканизованной резины,Очистка отходящих газов,,,,пыль,IV,
3 18 311 41 62 3,"ткань фильтровальная из текстильных волокон отработанная, загрязненная гексогеном",Производство порохов и готовых взрывчатых веществ,,"Текстиль
Вода
Гексоген",,,изделия из нескольких волокон,III,
3 18 311 42 62 3,"ткань фильтровальная из текстильных волокон отработанная, загрязненная октогеном",Производство порохов и готовых взрывчатых веществ,,"Текстиль 
Вода
Октоген",,,изделия из нескольких волокон,III,
3 35 141 51 20 4,отходы декоративного бумажно-слоистого пластика,Производство древесно-полимерных материалов,,"Бумага
Полиэтилен
Полипропилен",,,твердое ,IV,"Может содержать диоксид кремния, смолы, в том числе фенолформальдегидные"
3 41 001 01 42 4,пыль стеклянная,Производство стекла и изделий из стекла,Очистка отходящих газов,Стекло ,,,пыль,IV,
3 41 202 11 39 4 ,отходы (шлам) гидрообеспыливания при  шлифовке листового стекла,Производство стекла и изделий из стекла,Шлифовка листового стекла,"Стекло
Вода",,,прочие дисперсные системы,IV,"Может содержать диоксид кремния, железо"
3 41 229 01 29 4,бой зеркал,Производство стеклянных зеркал,,"Стекло
",,,прочие формы твердых веществ,IV,"Может содержать  медь, олово, cеребро, в том числе в соединениях"
3 41 400 01 20 5,отходы стекловолокна,Производство стекловолокна ,,Стекло,,,твердое ,V,
3 41 901 01 20 5,бой стекла,Производство стекла и изделий из стекла,,Стекло ,,,твердое ,V,
3 42 110 01 20 5,бой шамотного кирпича,Производство огнеупоров,,Шамот,,,твердое ,V,
3 42 410 01 21 5,отходы керамзита в кусковой форме,Производство керамзита,,Керамзит,,,кусковая форма,V,
3 42 410 02 42 4,пыль керамзитовая,Производство керамзита,,Керамзит,,,пыль,IV,
3 43 100 01 42 4,пыль керамическая,Производство керамических плит и плиток,,Керамика,,,пыль,IV,
3 43 100 02 20 5,бой керамики,Производство керамических плит и плиток,,Керамика,,,твердое ,V,
3 43 210 01 20 5,бой строительного кирпича,Производство кирпича из обожженной глины,,Керамика,,,твердое ,V,
3 43 210 02 42 4,пыль кирпичная,Производство кирпича из обожженной глины,,Керамика,,,пыль,IV,
