CodeFKKO,WasteName,OriginWaste,TechnologicalProcess,CompositionWaste,CompositionMin,CompositionMax,StateOfAggregation,HazardClass,Note
1 11 110 01 23 5,мякина,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 110 02 23 5,солома,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 110 03 23 5,стебли подсолнечника,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 110 04 23 5,стебли кукурузы,Выращивание зерновых и зернобобовых культур,Уборка урожая зерновых и зернобобовых культур,,,,волокно,V,
1 11 120 01 49 5,зерноотходы твердой пшеницы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 02 49 5,зерноотходы мягкой пшеницы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 03 49 5,зерноотходы меслина,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 04 49 5,зерноотходы кукурузы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 05 49 5,зерноотходы ячменя,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 06 49 5,зерноотходы ржи,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 07 49 5,зерноотходы овса,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 08 49 5,зерноотходы сорго,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 09 49 5,зерноотходы проса,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 11 49 5,зерноотходы гречихи,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 12 49 5,зерноотходы тритикале,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 13 49 5 ,зерноотходы чумизы,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 14 49 5,зерноотходы прочих зерновых культур,Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 120 15 49 5,зерноотходы прочих зернобобовых культур (овощей бобовых сушеных),Выращивание зерновых и зернобобовых культур,Механическая очистка и сортировка зерна,,,,прочие сыпучие материалы,V,
1 11 210 01 23 5,"ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей","Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур","Уборка урожая овощей, бахчевых, корнеплодных и клубнеплодных культур",,,,волокно,V,
1 11 210 02 23 5,"ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей, загрязненные землей","Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур","Уборка урожая овощей, бахчевых, корнеплодных и клубнеплодных культур",,,,волокно,V,
1 11 310 01 23 5,отходы тростника при выращивании грибов,Выращивание однолетних культур,Выращивание грибов,,,,волокно,V,
1 12 110 01 33 4,навоз крупного рогатого скота свежий,Разведение крупного рогатого скота,Содержание крупного рогатого скота,"Вода
Азот общий
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),IV,
1 12 110 02 29 5,навоз крупного рогатого скота перепревший,Разведение крупного рогатого скота,Перепревание навоза в процессе хранения,"Азот общий
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,V,
1 12 210 01 33 4,навоз конский свежий,Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных ,Содержание лошадей и прочих животных семейства лошадиных отряда непарнокопытных,"Вода
Азот общий
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),IV,
1 12 210 02 29 5,навоз конский перепревший,Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных ,Перепревание навоза в процессе хранения,"Азот общий
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,V,
1 12 310 01 33 4,навоз верблюжий свежий,Разведение верблюдов и прочих животных семейства верблюжьих,Содержание верблюдов и прочих животных семейства верблюжьих,"Вода
Азот общий
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),IV,
1 12 310 02 29 5,навоз верблюжий перепревший,Разведение верблюдов и прочих животных семейства верблюжьих,Перепревание навоза в процессе хранения,"Азот общий
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,V,
1 12 410 01 29 4,навоз мелкого рогатого скота свежий,Разведение овец и коз,Содержание овец и коз,"Вода
Азот общий
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,IV,
1 12 410 02 29 5,навоз мелкого рогатого скота перепревший,Разведение овец и коз,Перепревание навоза в процессе хранения,"Азот общий
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,V,
1 12 510 01 33 3,навоз свиней свежий,Разведение свиней,Содержание свиней,"Вода
Азот общий
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),III,
1 12 510 02 29 4,навоз свиней перепревший,Разведение свиней,Перепревание навоза в процессе хранения,"Азот общий
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,IV,
1 12 711 01 33 3,помет куриный свежий,Разведение сельскохозяйственной птицы,Содержание сельскохозяйственной птицы,"Вода
Азот общий
Азот аммиачный
Азот нитратный
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),III,
1 12 711 02 29 4,помет куриный перепревший,Разведение сельскохозяйственной птицы,Перепревание помета в процессе хранения,"Азот общий
Азот аммиачный
Азот нитратный
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,IV,
1 12 712 01 33 3,"помет утиный, гусиный свежий",Разведение сельскохозяйственной птицы,Содержание сельскохозяйственной птицы,"Вода
Азот общий
Азот аммиачный
Азот нитратный
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),III,
1 12 712 02 29 4,"помет утиный, гусиный перепревший",Разведение сельскохозяйственной птицы,Перепревание помета в процессе хранения,"Азот общий
Азот аммиачный
Азот нитратный
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,IV,
1 12 713 01 33 3,помет прочих птиц свежий,Разведение сельскохозяйственной птицы,Содержание сельскохозяйственной птицы,"Вода
Азот общий
Азот аммиачный
Азот нитратный
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),III,
1 12 713 02 29 4,помет прочих птиц перепревший,Разведение сельскохозяйственной птицы,Перепревание помета в процессе хранения,"Азот общий
Азот аммиачный
Азот нитратный
Фосфор (P2O5)
Калий (K2O)",,,прочие формы твердых веществ,IV,
1 12 911 01 33 4,навоз пушных зверей свежий,Разведение животных в звероводческих хозяйствах и питомниках,Содержание пушных зверей,"Вода
Азот общий
Фосфор (P2O5)
Калий (K2O)",,,твердое в жидком (паста),IV,
1 12 911 02 29 5,навоз пушных зверей перепревший,Разведение животных в звероводческих хозяйствах и питомниках,Перепревание навоза в процессе хранения,"Азот общий
Фосфор (P2O5)
Калий (K2O)
",,,прочие формы твердых веществ,V,
1 52 110 01 21 5 ,"отходы сучьев, ветвей, вершинок от лесоразработок",Производство круглых лесоматериалов,Лесоразработка,Древесина,,100,кусковая форма,V,
1 52 110 02 21 5,отходы корчевания пней,Производство круглых лесоматериалов,Лесоразработка,"Древесина
Грунт",,,кусковая форма,V,
1 52 110 03 23 5,зелень древесная,Производство круглых лесоматериалов,Лесоразработка,,,,волокно,V,
1 52 110 04 21 5,отходы раскряжевки,Производство круглых лесоматериалов,Лесоразработка,Древесина,,100,кусковая форма,V,
1 54 110 01 21 5,"отходы малоценной древесины (хворост, валежник, обломки стволов)",Лесоводство и лесозаготовки,"Очистка лесов и лесосек от хвороста, валежника, вершинника и другого древесного сора",Древесина,,100,кусковая форма,V,
2 00 110 01 20 5,скальные вскрышные породы силикатные практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,Силикаты в пересчете на диоксид кремния,30,,твердое ,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Силикатные породы богаты диоксидом кремния. 
В качестве основных компонентов может содержать(в пересчете на оксиды): Al2O3, MgO, FeO, Fe2O3, CaO, иногда NaO, Li2O, K2O. Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 110 02 20 5,скальные вскрышные породы карбонатные практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,Карбонаты ,,100,твердое ,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Представляет собой карбонаты кальция, магния, железа и марганца. 
В качестве основных компонентов может содержать (в пересчете на оксиды): CaO, MgO, FeO, MnO2. 
Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 110 03 20 5,скальные вскрышные породы кремнистые практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,Диоксид кремния ,90,100,твердое ,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Представляет собой кремнистые осадки с преобладанием свободного или водного кремнезема.
Зачастую почти полностью состоит из кремнистых скелетов организмов. Может содержать воду.
В качестве примесей может содержать: Al2O3,  Fe2O3, CaO, MgO, Ti2O, K2O и др.
Определение компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 110 04 20 5,скальные вскрышные породы сульфатные практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,Сульфаты,,,твердое ,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты.  Классификация.  
Чаще всего представляет собой сульфаты кальция. 
Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 110 99 20 5,скальные вскрышные породы в смеси практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,твердое ,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. 
Может представлять собой смесь различных компонентов, характерных для скальных вскрышных пород.
Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 120 01 40 5,гравийно-галечные вскрышные породы практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,твердые сыпучие материалы ,V,Компонентный состав в соответствии с ГОСТ 25100-2011. Грунты. Классификация. Крупность частиц гравийно-галечных пород составляет от 2 мм до 200 мм. 
2 00 120 02 40 5,песчаные вскрышные породы практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,твердые сыпучие материалы ,V,"Компонентный состав в соответствии с ГОСТ 25100-2011. Грунты. Классификация.  Крупность частиц песчаных пород составляет от 0,002 до 2 мм. 
  Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 120 03 40 5,супесчаные вскрышные породы практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,твердые сыпучие материалы ,V,"Компонентный состав в соответствии с ГОСТ 25100-2011. Грунты. Классификация. Супесчаные породы состоят из песчаных и глинистых пород и крупность частиц может колебаться от 2 мм до менее 0,002 мм. Число пластичности супесчаных пород от 1 до 7.
Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 120 99 40 5,рыхлые вскрышные породы в смеси практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,твердые сыпучие материалы ,V,"Классификацию рыхлых пород (несвязных грунтов) см. в ГОСТ 25100-2011. Грунты. Классификация.
Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 130 01 39 5,глинистые вскрышные породы практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,прочие дисперсные системы,V,"Компонентный состав в соответствии с ГОСТ 25100-2011. Грунты. Классификация. Крупность частиц глинистых пород менее 0,002 мм. Число пластичности более 17.
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 130 02 39 5,суглинистые вскрышные породы практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,прочие дисперсные системы,V,"Компонентный состав в соответствии с ГОСТ 25100-2011. Грунты. Классификация. 
 Суглинистые породы состоят из песчаных и глинистых пород и крупность частиц может колебаться от 2 мм до менее 0,002 мм. Число пластичности суглинистых пород от 7 до 17."
2 00 130 99 39 5,связные вскрышные породы в смеси практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,прочие дисперсные системы,V,"Классификацию связных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
2 00 190 99 39 5,вскрышные породы в смеси практически неопасные,Добыча полезных ископаемых открытым способом,Выемка вскрышных пород из карьеров,,,,прочие дисперсные системы,V,"Классификацию вскрышных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Описание компонентного состава  пород рекомендуется осуществлять в минералах."
2 11 280 01 33 4,шлам угольный от механической очистки шахтных вод малоопасный,Очистка шахтных вод при добыче угля подземным способом,Отстаивание шахтных вод в отстойнике,"Углерод
Диоксид кремния
Оксиды железа
Оксид алюминия
Вода",,,твердое в жидком (паста),IV,
2 11 310 01 49 5,отсев каменного угля в виде крошки,Обогащение угля,Дробление и классификация угля,,,,прочие сыпучие материалы,V,
2 11 310 02 42 4,пыль газоочистки каменноугольная,Обогащение угля,Очистка воздуха от пыли,,,,пыль,IV,
2 12 101 01 31 3,конденсат газовый нефтяного (попутного) газа,Добыча природного газа и газового конденсата,Конденсация попутного газа в газопроводах (или слив конденсата из конденсатосборника),"Нефтепродукты
Вода",15,"
85",жидкое в жидком (эмульсия),III,
2 21 310 01 39 5,отходы (хвосты) мокрой магнитной сепарации железных руд,Обогащение железных руд,Мокрая магнитная сепарация железных руд,,,,прочие дисперсные системы,V,
2 21 310 02 39 5,отходы (хвосты) сухой магнитной сепарации железных руд,Обогащение железных руд,Сухая магнитная сепарация железных руд,,,,прочие дисперсные системы,V,
2 22 120 01 39 5,отходы (хвосты) обогащения медных руд практически неопасные,Обогащение медных руд,,,,,прочие дисперсные системы,V,
2 31 112 01 21 5,"отходы известняка, доломита и мела в кусковой форме практически неопасные","Первичная обработка известняка, доломита, мела","Дробление известняка, доломита, мела",,,,кусковая форма,V,
2 31 112 02 40 5,"отсев известковых, доломитовых, меловых частиц с размером частиц не более 5 мм практически неопасный","Первичная обработка известняка, доломита, мела","Дробление известняка, доломита, мела",Карбонат кальция,,,твердые сыпучие материалы ,V,
2 31 112 03 40 4,"отходы известняка, доломита и мела в виде порошка и пыли малоопасные","Первичная обработка известняка, доломита, мела","Дробление известняка, доломита, мела",Карбонат кальция,,,твердые сыпучие материалы ,IV,
2 31 112 04 40 5,"щебень известняковый, доломитовый некондиционный практически неопасный","Первичная обработка известняка, доломита, мела","Дробление известняка, доломита, мела",Карбонат кальция,,,твердые сыпучие материалы ,V,
2 31 112 05 42 4,пыль газоочистки щебеночная,"Первичная обработка известняка, доломита, мела",Очистка воздуха от пыли,Карбонат кальция,,,пыль,IV,
2 31 122 01 21 5,отходы гипса в кусковой форме,Первичная обработка гипса,Дробление гипса,Сульфат кальция,,,кусковая форма,V,
2 31 122 02 42 4,пыль газоочистки гипсовая,Первичная обработка гипса,Очистка воздуха от пыли,Сульфат кальция,,,пыль,IV,
2 32 110 01 39 5,отходы (хвосты) обогащения апатит-нефелиновых руд,Добыча и обогащение апатит-нефелиновых руд,Обогащение апатит-нефелиновых руд,"Диоксид кремния 
",,,прочие дисперсные системы,V,"Может содержать соединения (соли, оксиды) алюминия, натрия, кальция, калия, железа, меди, марганца
"
2 32 210 01 49 5,галитовые отходы,Обогащение сильвинитовой и карналлитовой руд,Флотационный или галургический способы обогащения,Хлорид натрия,,,прочие сыпучие материалы,V,"Может содержать: глину, сульфат кальция, хлорид калия, хлорид магния"
2 32 210 02 39 5,глинисто-солевые шламы,Обогащение сильвинитовой и карналитовой руд,Флотационный или галургический способы обогащения,"Глина
Вода
Хлорид натрия
Сульфат кальция
Хлорид калия",,,прочие дисперсные системы,V,Может содержать хлорид магния
2 39 320 01 49 5,отходы промывки песка при добыче алмазов,Добыча алмазов из россыпных месторождений,Промывка песка при добыче алмазов ,Диоксид кремния,,,прочие сыпучие материалы,V,
2 81 321 01 39 5,отходы (осадки) очистки вод из горных выработок при добыче апатит-нефелиновых руд  ,Очистка вод при добыче полезных ископаемых,Очистка вод из горных выработок по добыче апатит-нефелиновых руд ,"Вода
Диоксид кремния",,,прочие дисперсные системы,V,"Может содержать соединения алюминия, натрия, железа, калия и др."
2 91 110 01 39 4,растворы буровые при бурении нефтяных скважин отработанные малоопасные,"Добыча сырой нефти, природного (попутного) газа и газового конденсата",Бурение нефтяных скважин,,,,прочие дисперсные системы,IV,"Может содержать: воду, взвешенные вещества (породу), нефтепродукты"
2 91 110 11 39 4,растворы буровые при бурении газовых и газоконденсатных скважин отработанные малоопасные,"Добыча сырой нефти, природного (попутного) газа и газового конденсата",Бурение газовых и газоконденсатных скважин,"Вода
Хлориды
Сульфаты
Нефтепродукты",,,прочие дисперсные системы,IV,Может содержать  взвешенные вещества (породу)
2 91 120 01 39 4,"шламы буровые при бурении, связанном с добычей сырой нефти, малоопасные","Добыча сырой нефти, природного (попутного) газа и газового конденсата",Бурение нефтяных скважин,"Порода
Вода",,,прочие дисперсные системы,IV,"Может содержать: нефтепродукты, неорганические соли"
2 91 120 11 39 4,"шламы буровые при бурении, связанном с добычей природного газа и газового конденсата, малоопасные","Добыча сырой нефти, природного (попутного) газа и газового конденсата",Бурение газовых и газоконденсатных скважин,"Порода
Вода",,,прочие дисперсные системы,IV,
2 91 130 01 32 4,"воды сточные буровые при бурении, связанном с добычей сырой нефти, малоопасные","Добыча сырой нефти, природного (попутного) газа и газового конденсата",Бурение нефтяных скважин,"Вода
Нефтепродукты",,,твердое в жидком (суспензия),IV,"Может содержать: взвешенные вещества,
хлориды, сульфаты и др."
2 91 211 01 20 3,"проппант керамический на основе кварцевого песка, загрязненный нефтью (содержание нефти 15 % и более)",Ремонт нефтепромыслового оборудования,,"Керамика
Нефтепродукты
","
15",,твердое,III,
2 91 211 02 20 4,"проппант керамический на основе кварцевого песка, загрязненный нефтью (содержание нефти менее 15 %)",Ремонт нефтепромыслового оборудования,,"Керамика
Нефтепродукты
",,"
<15",твердое,IV,
2 91 212 01 20 3,"проппант с полимерным покрытием, загрязненный нефтью (содержание нефти 15 % и более)",Ремонт нефтепромыслового оборудования,,Нефтепродукты ,15,,твердое,III,
2 91 212 02 20 4,"проппант с полимерным покрытием, загрязненный нефтью (содержание нефти менее 15 %)",Ремонт нефтепромыслового оборудования,,Нефтепродукты ,,<15,твердое,IV,
2 91 220 01 29 3,асфальтосмолопарафиновые отложения при зачистке нефтепромыслового оборудования,Ремонт нефтепромыслового оборудования,Зачистка нефтепромыслового оборудования,,,,прочие формы твердых веществ,III,"Может содержать парафины, смолы, асфальтены, серу, металлы, вода, хлориды и гидрокарбонаты кальция, магния, глинистые частицы, песок, оксиды железа"
2 91 220 11 39 4 ,"песок при очистке нефтяных скважин, содержащий нефтепродукты (содержание нефтепродуктов менее 15%)",Ремонт нефтепромыслового оборудования,Зачистка нефтепромыслового оборудования,"Диоксид кремния
Нефтепродукты
Вода",,"
<15",прочие дисперсные системы,IV,
2 92 100 01 20 5,вскрышная пустая порода при проходке стволов шахт добычи калийных солей,Предоставление услуг при добыче калийных солей подземным способом,Проходка стволов шахт добычи калийных солей,,,,твердое,V,
2 92 100 02 20 5,вскрышная засоленная порода при проходке стволов шахт добычи калийных солей,Предоставление услуг при добыче калийных солей подземным способом,Проходка стволов шахт добычи калийных солей,,,,твердое,V,
2 92 201 01 32 4,"растворы буровые отработанные  при бурении, связанном с добычей калийных солей",Предоставление услуг при добыче калийных солей подземным способом,"Бурение, связанное с добычей калийных солей","Вода
Хлорид калия
Хлорид натрия
Диоксид кремния",,,твердое в жидком (суспензия),IV,"Может содержать хлорид кальция, сульфаты кальция и калия"
2 92 202 01 20 4,"шлам буровой при бурении, связанном с добычей калийных солей",Предоставление услуг при добыче калийных солей подземным способом,"Бурение, связанное с добычей калийных солей","Вода
Диоксид кремния",,,твердое,IV,"Может содержать сульфат и карбонат кальция, оксиды железа, алюминия"
2 99 101 01 20 5,"скальные породы силикатные при проходке подземных горных выработок, не содержащие полезные ископаемые",Предоставление услуг при добыче прочих полезных ископаемых,Проходка подземных горных выработок для добычи прочих полезных ископаемых,Силикаты в пересчете на диоксид кремния,30,,твердое,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Силикатные породы богаты диоксидом кремния. 
В качестве основных компонентов может содержать (в пересчете на оксиды): Al2O3, MgO, FeO, Fe2O3, CaO, иногда NaO, Li2O, K2O.
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
2 99 101 02 20 5,"скальные породы карбонатные при проходке подземных горных выработок, не содержащие полезные ископаемые",Предоставление услуг при добыче прочих полезных ископаемых,Проходка подземных горных выработок для добычи прочих полезных ископаемых,Карбонаты ,,,твердое,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Представляет собой карбонаты кальция, магния, железа и марганца. 
В качестве основных компонентов может содержать (в пересчете на оксиды): CaO, MgO, FeO, MnO2. 
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
2 99 101 03 20 5,"скальные породы кремнистые при проходке подземных горных выработок, не содержащие полезные ископаемые",Предоставление услуг при добыче прочих полезных ископаемых,Проходка подземных горных выработок для добычи прочих полезных ископаемых,Диоксид кремния,90,100,твердое,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Представляет собой кремнистые осадки с преобладанием свободного или водного кремнезема.
Зачастую почти полностью состоит из кремнистых скелетов организмов.
В качестве основных компонентов может содержать воду.
В качестве примесей может содержать: Al2O3,  Fe2O3, CaO, MgO, Ti2O, K2O и др.
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
2 99 101 04 20 5,"скальные породы сульфатные при проходке подземных горных выработок, не содержащие полезные ископаемые",Предоставление услуг при добыче прочих полезных ископаемых,Проходка подземных горных выработок для добычи прочих полезных ископаемых,Сульфаты,,,твердое,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты.  Классификация.
Чаще всего представляет собой сульфаты кальция. 
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
2 99 101 99 20 5,"скальные породы в смеси при проходке подземных горных выработок, не содержащие полезные ископаемые",Предоставление услуг при добыче прочих полезных ископаемых,Проходка подземных горных выработок для добычи прочих полезных ископаемых,,,,твердое,V,"Классификацию скальных пород см. в ГОСТ 25100-2011. Грунты. Классификация.
Может представлять собой смесь различных компонентов, характерных для скальных вскрышных пород.
Описание  компонентного состава  пород рекомендуется осуществлять в минералах."
3 01 131 01 29 5,выжимки фруктовые и ягодные,Переработка и консервирование фруктов,,,,,прочие формы твердых веществ,V,
3 01 131 02 20 5,косточки плодовые,Переработка и консервирование фруктов,,,,,твердое ,V,
3 01 132 01 29 5,выжимки овощные,Переработка и консервирование овощей,,,,,прочие формы твердых веществ,V,
3 01 132 02 29 5,шкурки и семена овощные,Переработка и консервирование овощей,,,,,прочие формы твердых веществ,V,
3 01 132 03 29 5,очистки овощного сырья,Переработка и консервирование овощей,Очистка овощного сырья,,,,прочие формы твердых веществ,V,
3 01 132 04 29 5,"осадок (шлам) земляной от промывки овощей (свеклы, картофеля и т.д.)",Переработка и консервирование овощей,,"Грунт 
Вода",,,прочие формы твердых веществ,V,
3 01 132 11 10 4,раствор поваренной соли отработанный при засолке овощей,Переработка и консервирование овощей,Засолка овощей,"Хлорид натрия
Вода",,,жидкое,IV,
3 01 132 12 31 3,масла растительные отработанные при жарке овощей,Переработка и консервирование овощей,Жарка овощей,"Растительные жиры 
Вода",,,жидкое в жидком (эмульсия),III,
3 01 141 11 20 5,отходы семян подсолнечника,Производство растительных масел,,"Вода 
Жир 
Протеин 
Клетчатка",,,твердое ,V,
3 01 141 12 20 5,отходы льна масличного,Производство растительных масел,,"Вода 
Жир 
Протеин 
Клетчатка",,,твердое ,V,
3 01 141 21 49 5,лузга подсолнечная,Производство растительных масел,,"Вода 
Жир 
Протеин 
Клетчатка",,,прочие сыпучие материалы,V,
